SetDirection,SwellHeight,SwellDirection,WindForce,WindDirection,ComputedDraftMid,CurrentGpsShipSpeed,TotalPropulsionPower
180,1,180,3,180,7.05,13.5,6783
0,0.4,225,1,225,7.6,12.4,5047
135,1,90,3,180,5.85,13,5425
135,0.1,225,2,225,7.35,12.8,5688
0,1.5,0,4,0,7.95,16.7,7030
337.5,2,135,6,135,7.225,10.9,4498
180,1,180,5,180,7.1,12.4,5537
157.5,4,225,6,225,7.45,13,5795
270,1.5,90,5,90,7.325,13.6,7801
0,5,0,6,0,8.585,17.1,11049
0,1.2,180,2,180,8.195,15.7,7458
45,0.3,315,3,315,6.9,13.5,5010
225,0.5,180,2,180,8.775,15.1,7169
315,2.5,135,6,135,7.225,10.8,4708
180,0.5,180,3,180,5.98,15.3,6714
315,0.2,315,3,315,5.525,0,4096
0,2,0,4,0,8.425,14.1,5478
202.5,0.5,45,4,45,7,12.9,4331
270,4,270,7,270,6.8,13.8,6196
225,1.5,180,4,180,5.85,13,5043
315,2,225,2,225,8.75,17.8,11443
0,3.5,0,8,0,9.195,15.8,8009
0,0,0,1,180,7.45,15.2,7238
225,4,225,6,225,7.22,16.3,8372
0,3.5,135,5,135,6.95,13.4,6950
202.5,4,45,7,45,8.6,11.7,5531
315,2.5,0,4,0,7.95,12.7,5247
135,4.5,135,8,135,6.93,10.2,5215
0,1,0,3,0,8.385,15.5,7487
225,1.5,45,5,45,7.6,11.4,6913
135,0.3,180,2,180,8.41,16.6,5017
180,0.8,247.5,4,247.5,7.9,12.7,5990
0,2.5,135,4,135,5.55,13.3,5359
157.5,0.9,157.5,5,157.5,7.1,11.7,4303
180,0.7,225,3,225,7.05,13.6,6727
0,0,0,1,135,7.02,12.9,5941
315,1.5,180,4,180,9.075,13.9,8133
112.5,1.5,247.5,5,247.5,7.6,12.5,5294
90,0.1,225,2,225,8.295,12.2,4608
180,1.2,180,4,180,7.33,12,5862
135,0.3,180,2,180,8.775,15.1,6809
45,0,0,1,180,7.45,15.3,7040
0,0,0,1,180,6.85,12,6397
180,0.3,225,3,225,8.05,12.1,5941
45,1.5,225,5,225,7.8,12,4902
180,1.1,135,4,135,6.95,12.7,4880
180,3.5,225,6,225,6.55,14.4,8595
135,3.3,135,6,135,6.15,11.6,4950
270,3,180,5,180,6.69,14.7,8045
45,4,45,6,45,7.75,16.3,7837
135,4,315,7,315,7.05,12.8,4057
225,2,225,6,225,7.125,10.9,5804
315,0,0,1,315,8.6,12.8,4500
180,0.4,180,3,180,5.98,16.8,7163
180,1.5,135,5,135,9.2,11.2,6152
0,1,180,2,180,9.5,12,5004
0,4,315,6,315,6.785,14.3,5877
0,0.5,270,4,270,7.125,13.5,6529
202.5,3,45,6,45,7.525,18.4,9220
180,1.2,225,4,225,8.115,15.2,7712
0,0.2,180,1,135,8.6,12.2,4412
135,2,45,5,45,8.05,12.8,4327
180,3,180,8,180,9.2,10,4846
45,1.5,225,3,225,6.8,13,7078
45,1.5,202.5,4,202.5,7.8,11.7,4396
0,1.5,135,2,135,9.5,12.8,5248
157.5,2.5,157.5,5,157.5,6.75,13.2,5189
180,1,225,3,225,8.775,15.1,7499
0,0.8,315,2,315,7.945,16,6076
0,3,315,5,315,6.325,16.5,8189
45,0.4,225,3,225,6.9,12,5018
0,0.2,90,2,90,7.4,14.1,6727
90,0.3,0,3,0,8.295,12.9,4863
270,1,135,2,135,9.075,14.2,8751
180,0.2,180,3,180,8.55,16.3,8072
180,0.4,135,3,135,8.425,14.7,5114
315,0.5,180,2,180,7.65,12.6,5078
67.5,2.5,225,7,225,7.8,13,5177
315,1.2,270,4,270,6.4,14,5814
315,1.5,180,3,180,7.65,12,4836
315,3,225,2,225,6.5,12.3,4891
270,2.5,315,6,315,5.5,12.6,5562
0,0.6,315,4,315,7.285,19.5,9912
180,2,157.5,6,157.5,6.85,11,4939
0,0.3,45,3,45,8.625,16.5,10373
225,0.5,225,4,225,7.125,13.9,6057
0,1.5,180,3,180,7.25,13.3,6952
180,2,135,5,135,8.85,10.6,4023
0,2.5,135,5,180,7.65,11.9,6181
180,0.1,337.5,2,337.5,7.1,13,4189
180,2,180,5,180,8.85,10.7,5495
0,0.4,180,2,180,6.55,12.8,4759
315,3,315,5,315,8.81,17.2,9308
0,0.5,180,2,180,7.25,12.9,5814
0,4,315,7,315,7.95,15.2,4826
225,0,0,1,180,8.24,14.5,4686
315,3.5,135,7,135,8.6,5.7,5275
315,2.5,180,4,180,5.95,13,5473
67.5,1.5,247.5,5,247.5,7.6,11.6,4813
157.5,3,202.5,6,202.5,7.15,12.5,4956
0,4.5,45,7,45,8.055,14.1,8733
180,3.5,180,7,180,8.65,12.1,7122
180,1.4,135,4,135,7.175,15.1,6815
180,2,270,5,270,7.05,13.3,6023
135,2.5,180,6,225,9.35,10.3,6320
180,0.3,180,3,180,7.33,13.2,5247
225,5,225,8,225,7.21,13.5,7215
157.5,0.1,0,1,0,7.75,12.3,5313
180,1.5,225,4,225,7.7,11.7,5642
315,0.2,315,1,315,8,12,4698
45,1.5,180,2,180,8.55,17.8,9844
22.5,0.5,22.5,3,202.5,7.6,12.4,4402
45,1.2,90,4,90,7.02,14.3,5814
180,0.2,180,3,180,7.22,16.6,8726
0,1.5,0,5,0,9.195,15.2,8197
202.5,0.5,22.5,3,22.5,7.6,11.5,4835
180,1.5,180,4,180,8.23,14.6,6192
180,1,180,3,180,7.285,18.7,10323
90,0.5,315,1,315,8.025,14.3,7268
180,0.8,225,3,225,8.775,14.6,7466
337.5,1,157.5,4,157.5,7.115,12.5,4856
225,0.7,225,3,225,7.425,0.3,4255
270,6,135,7,135,6.445,13.2,8974
112.5,2,292.5,6,292.5,6.65,13.2,3966
0,0.5,270,2,270,9.075,12.2,5923
315,0.7,315,4,315,8.845,17.6,9578
180,2,180,4,180,8.85,11,3874
135,2.5,135,4,135,6.685,13.3,6353
270,2,180,4,180,5.95,11.2,5941
0,2.4,45,6,45,7.905,14.3,7458
315,3,315,6,315,8.32,15.4,8431
0,4,315,6,0,7.65,13.6,5282
180,3,180,6,180,8.575,13,6264
45,4,45,5,45,7.75,15.1,7205
202.5,3.5,45,6,45,8.35,15.4,5136
157.5,0.5,157.5,4,157.5,6.55,12.8,4532
0,0.2,180,2,180,7.65,12.5,4768
270,0.4,225,4,225,8.41,15.5,8711
315,0.3,315,3,315,8.23,14.7,8745
135,2.5,0,3,0,7.35,12.8,5562
135,1,135,4,135,7.7,13,5276
225,0.6,135,2,135,7.295,15,6714
225,0.1,315,2,315,6.9,13.7,5762
0,2.5,0,5,0,8.425,14.6,5611
0,0.4,315,3,135,6.9,13.1,5022
180,1.2,180,4,180,6.085,13.6,6013
180,3.5,180,8,180,5.875,15.7,8186
90,0.6,225,4,225,8.295,12.5,6471
135,1.2,135,5,135,8.055,18.9,9800
0,1.5,0,5,0,9.195,14.4,8513
0,2.5,0,4,0,7.925,16.6,7127
0,0.8,45,2,45,7.4,13.7,5847
157.5,2.5,225,6,225,7.45,12.3,5428
225,1.5,225,5,225,8.575,11.1,5529
45,4,135,8,180,7.65,12.2,5600
315,0.8,315,2,315,7.9,13.1,4846
112.5,4,292.5,8,315,6.2,16.2,7196
0,0,0,1,135,7.65,13,4126
0,2.5,0,6,0,8.85,16.4,9043
90,6,0,4,0,8.24,14.5,5970
0,1.2,180,3,180,7.37,13,5056
315,1.2,225,3,225,8.03,13.7,6952
180,0.5,180,3,180,6.625,17.5,8072
22.5,1.5,202.5,5,202.5,7.45,12.5,4486
180,0.1,225,2,225,6.65,13.7,4478
0,1.1,180,3,180,8.275,17,8669
157.5,1.5,0,5,0,6.45,16.3,7309
315,0.1,90,2,90,7.38,11.6,5688
270,2.5,135,6,180,6.7,11.2,4460
90,0,0,1,0,8.295,13,4861
67.5,0.5,180,4,180,7.115,13.5,5799
180,1.2,135,4,135,6.87,16.1,9022
135,0.3,135,3,135,6.29,13.4,4827
0,1,135,3,135,8.05,17,8415
225,1.5,45,5,45,8.5,11.2,4325
0,4,135,7,135,8.6,4.2,2263
315,1.2,45,3,0,7.75,14.2,6826
315,0.1,180,2,225,6.85,13.3,5812
315,0.2,180,2,180,7.38,12.2,5814
45,0,0,1,180,6.6,13,4386
315,4,45,7,45,6.25,12.8,5941
135,4,135,7,135,7.07,9.4,8329
180,0.2,202.5,3,202.5,7.625,11.8,4330
225,1,225,4,225,5.875,16.1,6128
180,3.2,180,6,180,9.35,9.8,6320
180,0.3,180,3,180,7.1,14.5,6672
0,0.3,180,3,180,7.21,17.4,7918
112.5,1.5,292.5,4,292.5,7.115,12,4627
135,3,45,5,45,8.18,12,4401
0,2.5,180,5,180,5.875,15.4,7156
135,6,135,8,135,9.2,10.7,7050
157.5,0.5,180,3,180,7.75,12.6,5156
180,0.2,180,2,180,7.1,14,6368
135,0.2,270,3,270,7.625,12,4334
0,0,0,1,180,8.55,16.3,8275
157.5,0.5,157.5,4,157.5,6.85,11.2,4600
270,0.6,0,3,0,8.24,14.3,5982
180,4.5,225,7,225,7.95,10.5,6194
0,0.8,180,3,180,8.195,12.8,6067
157.5,1,0,3,0,7.15,15.3,9475
315,6,270,7,270,7.65,12.1,5266
225,3.5,225,6,180,7.95,11.2,6320
270,6,315,4,315,8.24,13.4,6302
135,0.5,135,3,135,9.245,13.6,7245
0,0.5,315,2,315,8.025,15.6,9097
135,0.8,90,2,90,5.85,13.2,3534
180,0.7,0,2,0,8.385,13.9,7582
67.5,0.5,247.5,4,247.5,7.6,12.3,4711
315,2.5,45,6,45,7.55,12.9,6699
157.5,4,135,7,135,8.6,13.2,2692
45,1,0,2,0,7.37,12.1,5688
180,0.8,180,4,45,6.9,13.7,5227
180,1.2,90,4,90,7.475,10.7,4738
180,0.4,180,3,180,7.1,12.1,5272
0,0,0,0,0,7.4,15.3,5373
225,0.5,135,4,135,7.6,11.1,4337
315,0.2,315,2,315,8.195,14.8,6826
0,0.4,0,3,0,6.95,13,5232
135,3.3,225,6,225,6,13.5,5814
157.5,0.7,247.5,6,247.5,7.625,12,4307
45,0,0,1,135,7.1,14.2,5957
67.5,0.5,247.5,4,247.5,6.4,12.8,4299
315,0.5,180,2,180,9.075,15.8,7869
0,1.2,315,3,315,8.05,17.2,7633
0,1,0,3,0,7.945,16.2,7188
180,1,180,4,180,8.115,15.3,9073
0,0,0,1,135,8.08,13.1,6320
0,1.5,315,4,315,6.325,16.4,6627
315,4,90,6,90,6.55,13.7,6573
112.5,0.5,45,3,45,7.45,12.7,4443
90,0.2,0,2,0,6.69,16.9,8362
180,6,45,6,45,7.23,12.2,6735
180,0.5,0,3,0,8.385,14.8,7335
0,0.8,180,2,180,7.02,13,6320
0,0.5,0,4,0,8.425,15.5,6680
180,1.5,90,5,225,8.05,16.3,8323
315,2,90,6,90,6.55,15.5,7837
270,0.1,315,2,315,8.41,16.8,8541
